#{"t_start": 1618264023.322426, "env_id": null}
r,l,t
1.071429,4,174.747945
-0.857143,7,175.164854
-0.857143,7,175.575757
-0.928571,4,175.82906
-0.928571,4,176.078035
-0.857143,7,176.500967
-0.880952,6,176.883973
-0.833333,8,177.363661
-0.928571,4,177.61402
-0.809524,9,178.146246
-0.928571,4,178.403498
1.095238,5,178.667819
-0.928571,4,178.914154
-0.928571,4,179.162489
-0.857143,7,179.562433
-0.904762,5,179.863595
-0.880952,6,180.247566
-0.833333,8,180.719104
-0.880952,6,181.074454
-0.880952,6,181.433492
-0.904762,5,181.735685
-0.880952,6,182.090735
-0.857143,7,182.50762
1.190476,9,182.990329
-0.928571,4,183.231684
-0.928571,4,183.487002
-0.880952,6,183.857022
-0.857143,7,184.277887
-0.833333,8,184.74364
-0.880952,6,185.10355
-0.833333,8,185.577281
-0.880952,6,185.934486
1.071429,4,186.141931
-0.785714,10,186.715372
-0.833333,8,187.203068
-0.809524,9,187.727693
1.261905,12,188.369542
-0.857143,7,188.775476
-0.857143,7,189.210325
-0.809524,9,189.783795
-0.809524,9,190.325351
-0.857143,7,190.734286
-0.809524,9,191.262878
-0.928571,4,191.498245
-0.833333,8,191.97397
-0.833333,8,192.451692
-0.904762,5,192.767822
-0.880952,6,193.130849
-0.857143,7,193.542775
-0.928571,4,193.790122
-0.857143,7,194.211986
-0.928571,4,194.472294
-0.785714,10,195.059726
-0.880952,6,195.420728
-0.928571,4,195.673053
-0.833333,8,196.175707
-0.809524,9,196.702305
-0.857143,7,197.116192
-0.928571,4,197.361536
-0.880952,6,197.717613
-0.928571,4,197.964952
-0.928571,4,198.229217
-0.857143,7,198.635165
-0.928571,4,198.887487
1.071429,4,199.085925
-0.833333,8,199.541736
-0.928571,4,199.781066
-0.761905,11,200.434319
-0.809524,9,200.965897
-0.928571,4,201.211241
-0.928571,4,201.463567
1.071429,4,201.667294
-9.666667,15,202.466162
-0.761905,11,203.122377
-0.857143,7,203.529314
-0.904762,5,203.828743
-0.904762,5,204.128941
-0.904762,5,204.432161
-0.857143,7,204.862014
1.071429,4,205.058707
-0.785714,10,205.616183
-0.833333,8,206.100885
-0.857143,7,206.549715
1.071429,4,206.763064
-0.857143,7,207.217819
-0.857143,7,207.682603
-0.833333,8,208.176282
-0.809524,9,208.745732
-0.809524,9,209.292306
-0.880952,6,209.671262
1.071429,4,209.878193
-0.833333,8,210.36888
-0.809524,9,210.890519
-0.880952,6,211.25551
-0.880952,6,211.62256
-0.809524,9,212.160119
-0.928571,4,212.407454
-0.761905,11,213.056725
-0.809524,9,213.559381
-0.904762,5,213.85456
-0.833333,8,214.329316
1.071429,4,214.527789
-0.928571,4,214.77011
-0.833333,8,215.223898
-0.761905,11,215.863189
-0.857143,7,216.298054
1.071429,4,216.513449
-0.857143,7,216.964243
-0.928571,4,217.238541
-0.880952,6,217.59658
-0.928571,4,217.844888
-0.857143,7,218.293715
-0.785714,10,218.896077
1.071429,4,219.105741
-0.809524,9,219.624699
-0.928571,4,219.866055
-0.904762,5,220.176198
-0.761905,11,220.829509
-0.785714,10,221.428905
-0.857143,7,221.834793
-0.833333,8,222.321501
-0.785714,10,222.89415
-0.928571,4,223.1475
-0.928571,4,223.386832
-0.809524,9,223.914447
-0.857143,7,224.329132
-0.928571,4,224.564502
-0.857143,7,224.988398
-0.880952,6,225.354391
-0.809524,9,225.876992
-0.857143,7,226.296871
-0.714286,13,227.070801
-0.904762,5,227.420871
-0.880952,6,227.796885
-0.809524,9,228.323481
1.071429,4,228.530897
1.071429,4,228.741363
-0.928571,4,228.996679
-9.714286,13,229.694784
-0.809524,9,230.29518
-0.904762,5,230.634284
