#{"t_start": 1618253494.2781935, "env_id": null}
r,l,t
1.071429,4,77.863534
-0.690476,14,78.120683
-9.666667,15,78.377003
1.166667,8,78.521636
-9.833333,8,78.678217
-0.809524,9,78.855722
-9.738095,12,79.06713
1.166667,8,79.224501
1.238095,11,79.42998
-0.857143,7,79.562624
1.238095,11,79.762081
-9.738095,12,79.964551
1.119048,6,80.082205
-9.738095,12,80.296932
1.357143,16,80.567826
1.261905,12,80.777267
1.309524,14,81.024817
1.285714,13,81.271318
1.238095,11,81.469832
-9.833333,8,81.605439
1.142857,7,81.742761
1.166667,8,81.883387
-9.714286,13,82.116072
1.142857,7,82.238773
1.261905,12,82.450205
-9.714286,13,82.668621
-0.880952,6,82.795281
1.261905,12,83.001998
1.166667,8,83.156112
1.261905,12,83.369539
-9.761905,11,83.555875
1.214286,10,83.745994
-9.785714,10,83.921528
1.119048,6,84.032227
1.190476,9,84.198845
-9.690476,14,84.434187
1.214286,10,84.614527
1.238095,11,84.811002
1.166667,8,84.963583
1.214286,10,85.145076
-0.785714,10,85.334603
1.261905,12,85.541409
1.071429,4,85.628206
-0.809524,9,85.799906
-0.714286,13,86.034279
1.238095,11,86.245844
-0.714286,13,86.481301
1.071429,4,86.563081
-0.690476,14,86.818855
1.214286,10,86.999818
-9.785714,10,87.184323
-0.690476,14,87.440921
-0.880952,6,87.559634
1.190476,9,87.721807
1.261905,12,87.945307
1.142857,7,88.077795
1.261905,12,88.29221
-9.785714,10,88.467739
1.142857,7,88.594421
-9.666667,15,88.849771
-9.738095,12,89.063218
1.214286,10,89.241733
-0.857143,7,89.38038
1.238095,11,89.575861
1.119048,6,89.692524
-0.785714,10,89.887958
1.119048,6,90.012311
1.119048,6,90.128492
-9.809524,9,90.288285
1.142857,7,90.421912
1.166667,8,90.577494
1.261905,12,90.787929
1.142857,7,90.914597
1.142857,7,91.05419
-9.809524,9,91.222411
-9.714286,13,91.449292
1.261905,12,91.667706
1.166667,8,91.816339
1.285714,13,92.052676
1.285714,13,92.272089
1.190476,9,92.445647
1.238095,11,92.641118
-0.738095,12,92.864593
-9.690476,14,93.114895
-9.761905,11,93.305421
1.428571,19,93.639462
1.261905,12,93.849063
1.119048,6,93.960764
1.238095,11,94.155212
-9.690476,14,94.386603
-9.761905,11,94.575089
1.190476,9,94.741101
1.380952,17,95.039303
-0.785714,10,95.226824
-9.738095,12,95.432714
1.166667,8,95.587294
-9.809524,9,95.735896
1.166667,8,95.886477
-0.738095,12,96.105039
-9.738095,12,96.311664
-0.809524,9,96.483614
-0.738095,12,96.708701
-0.738095,12,96.918527
-9.785714,10,97.095543
1.214286,10,97.276089
1.095238,5,97.377813
-9.738095,12,97.591216
1.285714,13,97.817475
-0.785714,10,98.008993
-0.833333,8,98.17375
1.285714,13,98.400176
-9.761905,11,98.588384
-9.785714,10,98.764013
1.261905,12,98.970452
-0.690476,14,99.227765
1.095238,5,99.328468
1.261905,12,99.536941
-9.690476,14,99.775147
1.095238,5,99.873882
-0.809524,9,100.047418
-9.761905,11,100.232925
1.261905,12,100.445379
1.238095,11,100.63787
1.261905,12,100.851297
1.119048,6,100.966979
1.214286,10,101.150492
-9.714286,13,101.382879
-0.833333,8,101.539451
1.095238,5,101.638162
1.238095,11,101.833668
1.285714,13,102.070423
1.285714,13,102.300807
1.166667,8,102.454398
1.119048,6,102.567095
-9.619048,17,102.856295
1.238095,11,103.07471
1.142857,7,103.212353
-0.761905,11,103.418788
1.095238,5,103.517559
-0.738095,12,103.729893
1.119048,6,103.854559
-0.761905,11,104.070157
-0.785714,10,104.250462
-0.880952,6,104.369144
-0.690476,14,104.624439
-9.714286,13,104.845844
1.142857,7,104.981509
-0.785714,10,105.180614
1.214286,10,105.362125
-9.666667,15,105.623513
1.190476,9,105.789828
-0.833333,8,105.944954
1.119048,6,106.060645
1.142857,7,106.192266
-9.738095,12,106.397729
-9.690476,14,106.655028
-0.666667,15,106.924308
1.261905,12,107.136265
1.214286,10,107.318858
-0.619048,17,107.629227
-0.761905,11,107.831685
1.071429,4,107.921445
-9.690476,14,108.161954
1.095238,5,108.256727
1.261905,12,108.462177
1.166667,8,108.613745
1.119048,6,108.727442
1.309524,14,108.979146
1.238095,11,109.193604
1.071429,4,109.279403
-0.714286,13,109.523412
-0.785714,10,109.704906
1.309524,14,109.9692
1.238095,11,110.164601
1.119048,6,110.278668
-0.761905,11,110.492539
1.214286,10,110.669214
-0.738095,12,110.882644
-0.761905,11,111.092687
1.238095,11,111.291141
1.142857,7,111.445192
-0.809524,9,111.620696
-0.785714,10,111.811169
1.238095,11,112.01017
-0.690476,14,112.271852
-0.833333,8,112.418465
-9.714286,13,112.644855
1.261905,12,112.854979
1.214286,10,113.038994
1.357143,16,113.327224
1.261905,12,113.551622
1.119048,6,113.668309
1.214286,10,113.849663
-0.785714,10,114.065472
1.166667,8,114.221443
1.190476,9,114.374131
1.238095,11,114.576703
-9.666667,15,114.832458
-9.714286,13,115.056827
1.190476,9,115.229392
-0.785714,10,115.41589
-9.785714,10,115.586442
-9.809524,9,115.749295
1.214286,10,115.928671
1.309524,14,116.183883
-0.785714,10,116.366958
-0.809524,9,116.530529
-9.595238,18,116.835626
1.142857,7,116.963893
1.166667,8,117.116534
1.119048,6,117.230853
1.166667,8,117.388568
1.071429,4,117.474339
-9.738095,12,117.675806
1.190476,9,117.840714
-0.809524,9,118.017801
-0.738095,12,118.23322
-0.738095,12,118.442658
-0.690476,14,118.699969
-0.785714,10,118.88466
1.119048,6,118.998354
1.119048,6,119.121022
1.214286,10,119.310898
1.095238,5,119.414622
-0.714286,13,119.64299
1.142857,7,119.779614
-9.619048,17,120.068231
-0.857143,7,120.202889
1.261905,12,120.417315
1.190476,9,120.584149
-9.738095,12,120.785589
1.238095,11,120.977105
1.214286,10,121.162027
-0.714286,13,121.407598
1.190476,9,121.574177
-9.880952,6,121.679892
-9.738095,12,121.881358
1.119048,6,121.99408
-0.619048,17,122.302254
