#{"t_start": 1618268456.6685603, "env_id": null}
r,l,t
-0.904762,5,224.079912
-0.857143,7,224.485827
-0.880952,6,224.835891
-0.880952,6,225.212914
-0.880952,6,225.577937
1.071429,4,225.778396
1.071429,4,225.97684
-0.785714,10,226.543325
-0.785714,10,227.111805
1.071429,4,227.309277
-0.904762,5,227.613463
1.166667,8,228.024364
1.071429,4,228.225748
-0.880952,6,228.57795
-0.857143,7,229.023759
1.071429,4,229.229209
-0.880952,6,229.586253
-0.880952,6,229.938346
-0.928571,4,230.186647
-0.833333,8,230.650643
-0.880952,6,231.010679
1.071429,4,231.204192
-0.833333,8,231.676924
-0.880952,6,232.025003
1.214286,10,232.558542
1.071429,4,232.757021
-0.880952,6,233.113091
1.071429,4,233.318509
-0.809524,9,233.826152
-0.880952,6,234.192172
1.214286,10,234.740705
-0.857143,7,235.142661
1.142857,7,235.515772
1.071429,4,235.719195
-0.880952,6,236.061309
-0.928571,4,236.297679
1.071429,4,236.499136
-0.833333,8,236.969878
-0.928571,4,237.217221
1.071429,4,237.427652
1.071429,4,237.624134
1.071429,4,237.81707
-0.761905,11,238.442398
-0.738095,12,239.127569
1.071429,4,239.33013
-0.833333,8,239.822793
-0.880952,6,240.184824
1.214286,10,240.717401
-0.809524,9,241.239006
-0.904762,5,241.539202
1.071429,4,241.743681
-0.928571,4,241.984012
1.071429,4,242.172509
-0.761905,11,242.811038
-0.880952,6,243.163081
-0.809524,9,243.683362
-0.833333,8,244.162082
1.071429,4,244.353598
1.214286,10,244.898115
1.071429,4,245.10558
-0.904762,5,245.40476
-0.833333,8,245.86955
-0.833333,8,246.325297
-0.880952,6,246.674398
1.071429,4,246.882806
-0.833333,8,247.363521
-0.833333,8,247.810326
-0.857143,7,248.222225
-0.857143,7,248.624163
-0.785714,10,249.194659
-0.904762,5,249.492827
-0.738095,12,250.17139
-0.928571,4,250.419726
1.071429,4,250.616201
1.238095,11,251.217592
-0.904762,5,251.519787
-0.880952,6,251.87683
-0.857143,7,252.28476
1.214286,10,252.810367
-0.833333,8,253.275121
-0.880952,6,253.620168
-0.857143,7,254.025116
-0.761905,11,254.651411
1.071429,4,254.85516
-0.857143,7,255.264292
-0.761905,11,255.947466
-0.928571,4,256.1968
1.071429,4,256.402277
1.071429,4,256.593766
-9.833333,8,257.016156
-0.880952,6,257.377191
1.071429,4,257.573677
-0.857143,7,257.988588
-0.904762,5,258.290989
-0.857143,7,258.699898
-0.785714,10,259.278336
-0.904762,5,259.594426
1.071429,4,259.796884
-0.880952,6,260.143955
1.071429,4,260.335443
-0.928571,4,260.581785
-0.833333,8,261.042553
1.214286,10,261.576125
-0.904762,5,261.860366
1.071429,4,262.046867
-0.904762,5,262.338088
-0.880952,6,262.695133
-0.904762,5,262.99533
-0.809524,9,263.513945
-0.761905,11,264.122317
-0.833333,8,264.584082
-0.857143,7,265.016925
1.214286,10,265.552493
-0.809524,9,266.053154
-0.833333,8,266.512952
-0.880952,6,266.869006
-0.857143,7,267.276915
-0.761905,11,267.89822
-0.880952,6,268.252275
-0.928571,4,268.492631
-0.761905,11,269.135941
1.071429,4,269.336374
-0.904762,5,269.635574
-0.785714,10,270.224457
-0.809524,9,270.740736
-0.880952,6,271.108723
1.142857,7,271.460814
-0.857143,7,271.87268
1.071429,4,272.068186
-0.857143,7,272.479058
-0.857143,7,272.881047
-0.809524,9,273.41063
1.238095,11,273.987099
1.071429,4,274.183915
-0.833333,8,274.644679
1.071429,4,274.837137
-0.833333,8,275.310871
1.071429,4,275.517318
-0.857143,7,275.918278
-0.833333,8,276.384998
-0.904762,5,276.679212
-0.761905,11,277.334459
1.214286,10,277.874044
1.071429,4,278.080466
1.190476,9,278.552203
1.190476,9,279.011973
-9.809524,9,279.46975
-0.857143,7,279.873669
1.071429,4,280.06416
-0.857143,7,280.466111
-0.809524,9,280.979712
-0.928571,4,281.217076
1.071429,4,281.408565
-0.880952,6,281.776615
-0.738095,12,282.452772
-0.785714,10,286.413038
1.214286,10,286.948635
-0.857143,7,287.356991
-0.904762,5,287.655191
-0.857143,7,288.058081
-0.738095,12,288.765558
-0.904762,5,289.067991
-0.809524,9,289.582584
-0.833333,8,290.038366
1.071429,4,290.244844
-0.785714,10,290.836984
-0.880952,6,291.190068
-0.785714,10,291.786904
-0.857143,7,292.211767
1.071429,4,292.405274
-0.833333,8,292.883023
-0.857143,7,293.305895
-0.880952,6,293.658299
-0.809524,9,294.153649
-0.833333,8,294.638335
1.238095,11,295.220777
-0.928571,4,295.463129
1.071429,4,295.670593
-0.833333,8,296.142312
1.071429,4,296.341022
1.214286,10,296.867612
1.142857,7,297.235633
-0.809524,9,297.753454
1.119048,6,298.064621
-0.880952,6,298.414685
-0.928571,4,298.660029
1.071429,4,298.858498
-0.809524,9,299.390078
-0.880952,6,299.748119
-0.833333,8,300.224844
1.071429,4,300.430322
1.071429,4,300.642728
1.071429,4,300.84718
1.214286,10,301.388732
1.190476,9,301.868449
-0.880952,6,302.207134
1.071429,4,302.406233
1.071429,4,302.601675
-0.833333,8,303.064438
-0.833333,8,303.524448
-0.809524,9,304.04509
-0.880952,6,304.400144
-0.857143,7,304.805025
-0.904762,5,305.099264
