#{"t_start": 1618262887.9254274, "env_id": null}
r,l,t
-0.857143,7,157.231933
-0.809524,9,157.774483
-0.833333,8,158.240255
-0.880952,6,158.577335
-0.785714,10,159.163796
-0.928571,4,159.407117
1.190476,9,159.891852
-0.833333,8,160.347601
-0.880952,6,160.712854
-0.928571,4,160.964208
-0.880952,6,161.311282
-0.785714,10,161.884747
-0.904762,5,162.194228
1.071429,4,162.393696
-0.833333,8,162.844316
-0.904762,5,163.147505
-0.761905,11,163.794808
-0.857143,7,164.196722
1.214286,10,164.718994
-0.785714,10,165.28698
-0.928571,4,165.526342
-0.880952,6,165.894356
-0.880952,6,166.251722
-0.857143,7,166.705538
-0.880952,6,167.050613
-0.904762,5,167.348788
-0.833333,8,167.815539
-0.928571,4,168.055928
-0.928571,4,168.297281
-0.928571,4,168.535647
-0.785714,10,169.116063
-0.857143,7,169.537812
-0.833333,8,170.012542
-0.928571,4,170.256893
-0.857143,7,170.657817
-0.833333,8,171.112628
-0.880952,6,171.487598
1.071429,4,171.700386
-0.833333,8,172.220589
-0.809524,9,172.790067
1.238095,11,173.410414
-0.880952,6,173.792388
-0.880952,6,174.238295
-0.880952,6,174.619664
-9.690476,14,175.403542
-0.857143,7,175.840659
-0.880952,6,176.208701
-0.880952,6,176.58919
-0.904762,5,176.897382
-0.928571,4,177.147696
-0.880952,6,177.571277
-0.833333,8,178.056888
-0.833333,8,178.591338
-0.857143,7,179.04313
-0.785714,10,179.665468
-0.857143,7,180.109852
-0.761905,11,180.802871
-0.833333,8,181.312476
-0.880952,6,181.775899
-0.928571,4,182.043871
-0.880952,6,182.427353
-0.809524,9,183.015779
-0.928571,4,183.291049
-0.809524,9,183.847556
-0.785714,10,184.479335
-0.928571,4,184.733715
-0.904762,5,185.067804
-0.880952,6,185.445794
1.238095,11,186.137941
-0.904762,5,186.458087
-0.928571,4,186.750304
-0.928571,4,187.022577
-0.857143,7,187.464759
-0.761905,11,188.21647
-0.904762,5,188.537637
-0.809524,9,189.129631
-0.857143,7,189.637168
-0.833333,8,190.21961
-0.809524,9,190.831074
-0.880952,6,191.256971
1.214286,10,191.950116
-0.857143,7,192.43993
1.214286,10,193.014391
1.071429,4,193.263726
-0.880952,6,193.671145
-0.857143,7,194.148913
-0.928571,4,194.424135
-0.833333,8,194.95976
-0.928571,4,195.221087
-0.928571,4,195.491354
-0.809524,9,196.075881
-0.857143,7,196.521725
-0.809524,9,197.081226
-0.880952,6,197.459702
-0.833333,8,197.990172
-0.833333,8,198.568625
-0.809524,9,199.279724
-0.809524,9,199.954942
-0.880952,6,200.332931
-0.714286,13,201.142542
-0.833333,8,201.635266
-0.857143,7,202.081102
-0.880952,6,202.46309
-0.928571,4,202.743511
-0.928571,4,203.003072
-0.928571,4,203.260919
-0.857143,7,203.711713
-0.928571,4,203.975186
-0.928571,4,204.228646
-0.857143,7,204.660469
-0.785714,10,205.265317
-0.833333,8,205.753041
-0.833333,8,206.251694
1.285714,13,206.952631
-0.880952,6,207.379516
-0.880952,6,207.739527
-0.880952,6,208.121023
-0.904762,5,208.440181
-0.833333,8,208.913004
-0.833333,8,209.416116
-9.738095,12,210.107388
-0.880952,6,210.479152
-0.809524,9,211.120409
-0.857143,7,211.655982
-0.857143,7,212.113754
-0.833333,8,212.642613
-0.833333,8,213.147364
-0.928571,4,213.435594
-0.738095,12,214.313167
-0.904762,5,214.631709
-0.928571,4,214.899092
-0.928571,4,215.193305
1.071429,4,215.519432
-0.880952,6,215.926957
1.071429,4,216.155723
-9.833333,8,216.709331
-0.809524,9,217.377087
1.261905,12,218.048335
-0.880952,6,218.443812
-0.904762,5,218.811798
-0.880952,6,219.269575
-0.809524,9,219.976549
-0.928571,4,220.233827
-0.880952,6,220.619797
1.166667,8,221.076134
-0.928571,4,221.356548
-0.904762,5,221.722099
